fecha,valor_uf
2025-04-01,38899.12
2025-04-02,38904.13
2025-04-03,38909.14
2025-04-04,38914.15
2025-04-05,38919.16
2025-04-06,38924.18
2025-04-07,38929.19
2025-04-08,38934.2
2025-04-09,38939.22
2025-04-10,38945.69
2025-04-11,38952.17
2025-04-12,38958.65
2025-04-13,38965.12
2025-04-14,38971.6
2025-04-15,38978.08
2025-04-16,38984.56
2025-04-17,38991.04
2025-04-18,38997.53
2025-04-19,39004.01
2025-04-20,39010.5
2025-04-21,39016.98
2025-04-22,39023.47
2025-04-23,39029.96
2025-04-24,39036.45
2025-04-25,39042.94
2025-04-26,39049.43
2025-04-27,39055.92
2025-04-28,39062.41
2025-04-29,39068.91
2025-04-30,39075.41
2025-05-01,39081.9
2025-05-02,39088.4
2025-05-03,39094.9
2025-05-04,39101.4
2025-05-05,39107.9
2025-05-06,39114.4
2025-05-07,39120.91
2025-05-08,39127.41
2025-05-09,39133.92
